Total Cases,Deaths,Recovered,Date,Currently Positive
0.0056832900278377145,0.0006038220837571711,0.0031942710781351,7/22/20,0.0018851968659454434
0.005738837581099694,0.0006038858094396896,0.0031942710781351,7/23/20,0.001940680693524904
0.00578673805245945,0.0006039495351222082,0.0031942710781351,7/24/20,0.001988517439202141
0.00578673805245945,0.0006039495351222082,0.0031942710781351,7/25/20,0.001988517439202141
0.00578673805245945,0.0006039495351222082,0.0031942710781351,7/26/20,0.001988517439202141
0.005921857741292889,0.0006039920189105538,0.0031942710781351,7/27/20,0.002123594644247235
0.0059606879238408425,0.0006040345026988995,0.0031942710781351,7/28/20,0.0021623823430068426
0.006003830210905881,0.0006041407121697637,0.0031942710781351,7/29/20,0.0022054184206010173
0.006063073853753934,0.0006041831959581093,0.0031942710781351,7/30/20,0.0022646195796607246
0.006128753790536358,0.0006042256797464551,0.0031942710781351,7/31/20,0.002330257032654803
0.006128753790536358,0.0006042256797464551,0.0031942710781351,8/1/20,0.002330257032654803
0.006128753790536358,0.0006042256797464551,0.0031942710781351,8/2/20,0.002330257032654803
0.006309989631619035,0.0006047992108891218,0.0031942710781351,8/3/20,0.002510919342594813
0.006432342942054598,0.0006053515001376156,0.0031942710781351,8/4/20,0.002632720363781882
0.006495070255546997,0.0006053727420317884,0.0031942710781351,8/5/20,0.0026954264353801086
0.00658190711892557,0.0006053939839259613,0.0031942710781351,8/6/20,0.002782242056864508
0.006677644335962563,0.0006054577096084798,0.0031942710781351,8/7/20,0.0028779155482189832
0.006677644335962563,0.0006054577096084798,0.0031942710781351,8/8/20,0.0028779155482189832
0.006677644335962563,0.0006054577096084798,0.0031942710781351,8/9/20,0.0028779155482189832
0.006860706979944104,0.0006070083678830972,0.0031942710781351,8/10/20,0.003059427533925907
0.006937857539579862,0.0006071145773539614,0.0031942710781351,8/11/20,0.0031364718840908006
0.0070052368278961125,0.0006070720935656157,0.0031942710781351,8/12/20,0.003203893656195397
0.00716561312890106,0.0006076243828141096,0.0031942710781351,8/13/20,0.0033637176679518505
0.007281997467074055,0.0006078792855441836,0.0031942710781351,8/14/20,0.003479847103394771
0.007281997467074055,0.0006078792855441836,0.0031942710781351,8/15/20,0.003479847103394771
0.007281997467074055,0.0006078792855441836,0.0031942710781351,8/16/20,0.003479847103394771
0.007627581843372001,0.0006084953004751961,0.0031942710781351,8/17/20,0.003824815464761705
