Total Cases,Deaths,Recovered,Total Cases Number,Deaths Number,Recovered Number,Date,Currently Positive,Currently Positive Number
0.002907624941270778,0.000444080676724075,0.0010718628261333037,194985,29780,71879,7/1/20,0.0013916814384133994,93326
0.0029146783381844947,0.00044428944534308565,0.001074472433870937,195458,29794,72054,7/2/20,0.0013959164589704722,93610
0.0029213291099044053,0.00044455786213895646,0.0010763662634862478,195904,29812,72181,7/3/20,0.001400404984279201,93911
0.002915990598075419,0.00044455786213895646,0.0010750390915511086,195546,29812,72092,7/4/20,0.0013963936443853538,93642
0.0029158265655890533,0.0004445727741831715,0.0010750390915511086,195535,29813,72092,7/5/20,0.0013962146998547733,93630
0.002933914875221904,0.00044491575120011756,0.0010771416897854302,196748,29836,72233,7/6/20,0.0014118574342363564,94679
0.002938999882299235,0.0004450797836864831,0.0010790802555333862,197089,29847,72363,7/7/20,0.0014148398430793656,94879
0.0029346306533442265,0.000445064871642268,0.0010756504853639255,196796,29846,72133,7/8/20,0.001413915296338033,94817
0.0029520479209874002,0.00044570608954351505,0.0010797512975230631,197964,29889,72408,7/9/20,0.001426590533920822,95667
0.0029592951744759127,0.0004460490665604611,0.0010795723529924827,198450,29912,72396,7/10/20,0.0014336737549229689,96142
0.0029555522513779364,0.000446004330427816,0.0010766495923263337,198199,29909,72200,7/11/20,0.0014328983286237868,96090
0.0029553136586704955,0.000446004330427816,0.0010766495923263337,198183,29909,72200,7/12/20,0.0014326597359163458,96074
0.0029760115760409794,0.00044633239540054696,0.0010763513514420327,199571,29931,72180,7/13/20,0.0014533278291983997,97460
0.002975087029299647,0.0004463025713121169,0.0010724443958576907,199509,29929,71918,7/14/20,0.0014563400621298392,97662
0.00298744911395392,0.000447629743247256,0.001070297061490724,200338,30018,71774,7/15/20,0.0014695223092159402,98546
0.0029934288436841536,0.00044788324799891177,0.0010723250995039702,200739,30035,71910,7/16/20,0.0014732204961812715,98794
0.0030040014830326213,0.0004480920166179224,0.0010733540305548084,201448,30049,71979,7/17/20,0.0014825554358598907,99420
0.003001570819825569,0.0004480472804852773,0.0010682839355216926,201285,30046,71639,7/18/20,0.001485239603818599,99600
0.0030015111716487084,0.0004480472804852773,0.0010682839355216926,201281,30046,71639,7/19/20,0.0014851799556417386,99596
0.003030753690354414,0.00044839025750222333,0.001066121689110511,203242,30069,71494,7/20/20,0.0015162417437416796,101679
0.003037523758428045,0.00044819640092742775,0.001064451540158426,203696,30056,71382,7/21/20,0.0015248758173421915,102258
0.0030516156402112635,0.0004483007852369331,0.0010623042057914592,204641,30063,71238,7/22/20,0.0015410106491828713,103340
0.0030640671971308275,0.0004484349936348685,0.0010679707825931768,205476,30072,71618,7/23/20,0.0015476614209027821,103786
0.0030781143427814008,0.0004485692020328039,0.0010708488071266807,206418,30081,71811,7/24/20,0.0015586963336219162,104526
0.003076861731067337,0.0004485692020328039,0.0010671953562939943,206334,30081,71566,7/25/20,0.001561097172740539,104687
0.003076861731067337,0.0004485692020328039,0.0010671953562939943,206334,30081,71566,7/26/20,0.001561097172740539,104687
0.0031116217061326096,0.0004487928826960296,0.0010661664252431561,208665,30096,71497,7/27/20,0.001596662398193424,107072
0.003121717160066196,0.0004489867392708252,0.001068701472759714,209342,30109,71667,7/28/20,0.0016040289480356569,107566
0.003119763682274025,0.0004489718272266101,0.0010676576296646608,209211,30108,71597,7/29/20,0.001603134225382754,107506
0.0031384633857196925,0.0004491955078898358,0.0010683435836985528,210465,30123,71643,7/30/20,0.0016209242941313039,108699
0.003177652237916834,0.0004495981330836421,0.0010685374402733484,213093,30150,71656,7/31/20,0.0016595166645598433,111287
0.0031767276911755012,0.0004495981330836421,0.0010663751938621668,213031,30150,71511,8/1/20,0.0016607543642296924,111370
0.003176682955042856,0.0004495981330836421,0.0010663751938621668,213028,30150,71511,8/2/20,0.0016607096280970473,111367
0.003174535620675889,0.00044958322103942703,0.0010626024466757601,212884,30149,71258,8/3/20,0.0016623499529607021,111477
0.003223879574983477,0.00045000075827744836,0.0010610217699889653,216193,30177,71152,8/4/20,0.0017128570467170633,114864
0.003222582227136768,0.0004499560221448032,0.0010659725686683605,216106,30174,71484,8/5/20,0.0017066536363236043,114448
0.0032622035286161456,0.0004501200546311687,0.0010678962223721015,218763,30185,71613,8/6/20,0.0017441872516128754,116965
0.003317586860830827,0.0004503884714270395,0.0010701777651370035,222477,30203,71766,8/7/20,0.0017970206242667842,120508
0.003316557929779989,0.00045037355938282446,0.0010674786851340803,222408,30202,71585,8/8/20,0.0017987056852630844,120621
0.003316468457514699,0.00045037355938282446,0.0010674786851340803,222402,30202,71585,8/9/20,0.0017986162129977942,120615
0.003375848217579013,0.00045035864733860946,0.001066762907011758,226384,30201,71537,8/10/20,0.0018587266632286454,124646
0.0033747894624397445,0.00045035864733860946,0.0010655252073419092,226313,30201,71454,8/11/20,0.0018589056077592259,124658
0.00344280329610457,0.00045104460137250155,0.00107226545132711,230874,30247,71906,8/12/20,0.0019194932434049585,128721
0.0034413717398599254,0.0004512831940799423,0.001069640931545262,230778,30263,71730,8/13/20,0.0019204476142347213,128785
0.0035209424077914117,0.00045152178678738305,0.0010740101605002704,236114,30279,72023,8/14/20,0.0019954104605037584,133812
0.003569123222650226,0.00045152178678738305,0.0010732347342010881,239345,30279,71971,8/15/20,0.002044366701661755,137095
0.0035685416529258394,0.00045152178678738305,0.0010732347342010881,239306,30279,71971,8/16/20,0.0020437851319373684,137056
0.0036184075287809536,0.0004518647638043291,0.0010747408506668076,242650,30302,72072,8/17/20,0.002091801914309817,140276
0.003617542630216481,0.00045184985176011404,0.0010737119196159695,242592,30301,72003,8/18/20,0.0020919808588403975,140288
0.0036167373798288685,0.00045183493971589903,0.001072847021051497,242538,30300,71945,8/19/20,0.002092055419061473,140293
0.0036148733743019876,0.00045183493971589903,0.0010716987936469384,242413,30300,71868,8/20/20,0.00209133964093915,140245
0.0038373610739904766,0.0004529235189435974,0.001081645127138374,257333,30373,72535,8/21/20,0.002302792427908505,154425
0.00389014971051174,0.00045304281529731774,0.0010826144100123522,260873,30381,72600,8/22/20,0.00235449248520207,157892
